"cl1","cl2","cl3","cl4","cl5","cl6","cl7"
"CXCL3","ACTA2","UBE2C","LINC00520","MIR34AHG","THBS1","RARRES2"
"MT1F","ACTG2","RRM2","HMOX1","CENPP","IGFBP3","HSD17B2"
"MT1X","PPP1R14A","CENPM","FABP5","ZNF407","COL4A1","FENDRR"
"GNG11","SAA2","CDK1","DDIT3","PRIM2","FAT1","PCDH18"
"PTGES","TAGLN","ZWINT","CDKN1A","CACNA1C","COL3A1","FOXF1"
"MT1E","KCNMB1","BIRC5","GDF15","SAMD12","FN1","CHAC1"
"MMP3","PCSK7","TYMS","LINC01173","AC105052.4","COL8A1","SPON2"
"G0S2","SAA1","PCLAF","NR1D1","BRIP1","VCL","OTULINL"
"MT2A","WFDC1","MYBL2","LINC00973","PRKCA","SULF1","PDGFRA"
"IL6","TPM1","ASF1B","GADD45A","NRXN3","HEG1","SOD3"
"IL1B","TP53I11","CLSPN","SNAPC1","RGL1","COL12A1","ACP5"
"FAM43A","TPM2","FEN1","AREG","PVT1","COL5A1","PRXL2A"
"DDIT4","HACD1","PSMC3IP","AC025423.4","FBXL7","COL6A3","CST1"
"NDUFA4L2","MYL9","MAD2L1","HSPB8","LARGE1","NRP1","ABCC4"
"CXCL1","MYLK","UBE2T","SERTAD1","ABTB2","WNT5A","IFITM1"
"FAM162A","LIMS2","PHF19","C12orf45","PCCA","SLC5A3","F2R"
"IL24","PDLIM2","AURKB","PHLDA3","MEG8","VCAN","BMP2"
"FAM20C","CNN1","SNRNP25","SNHG8","UBASH3B","IGF2R","PITX1"
"MMP1","IGFBP3","TK1","AC003092.1","AC016831.7","SEL1L","KLF2"
"CCL2","VSIR","HIST1H4C","HES4","NAV2","ITGA1","CARD16"
"MT1M","ACTB","HMGB2","PSG4","GSE1","HSPA5","IRF1"
"S100A4","CSRP1","CKS1B","FDXR","NEGR1","LTBP2","IL1R1"
"CCDC85B","TINAGL1","NCAPG","IRF2BP2","CHSY3","ITGB3","CTSC"
"TMEM158","HSPB1","NRGN","IFI30","OSBPL3","ITGA4","SUSD2"
NA,"TGFB1I1","TMEM106C","TRIAP1","RASAL2","ITGAV","SERPINE2"
NA,"TUBA1A","GTSE1","PGF","PLCB1","TM9SF4","JUP"
NA,"C12orf75","HMGN2","FLNC","XKR6","COL4A2","CTSK"
NA,"LMOD1","CENPW","LINC01705","CDKAL1","FBN1","ATP1B1"
NA,"PDLIM7","STMN1","SNHG1","INPP4B","KIAA1109","C11orf96"
NA,"FBLIM1","TOP2A","PTTG1","RBMS3","TMEM30A","FOS"
NA,"IGFBP5","DTYMK","PPIF","GLIS3","COL6A1","C1S"
NA,"CCN2","RPL39L","DDB2","BNC2","SCD","SOX4"
NA,"VASP","NUSAP1","EPB41L4A-AS1","CLASP1","PLOD2","PLAU"
NA,"ILK","PRC1","SLC3A2","TTC28","TFRC","IFITM3"
NA,"MYL6","CENPU","CKS2","NHS","ATP2B4","IER5L"
NA,"DBNDD2","USP1","DKK1","PRICKLE2","LRP1","ZFP36"
NA,"CRYAB","CENPN","BBC3","SAMD4A","LDLR","SYNGR1"
NA,"FLNA","H2AFX","GAS5","MAGI2","TGFB2","JUNB"
NA,"FHL1","FANCI","MKNK2","SPATA5","COL1A2","ZEB1"
NA,"ZYX","ANLN","GEM","NLK","CLSTN1","RHOB"
NA,"CAV1","TUBA1B","GNPDA1","PRKG1","COL5A2","C1R"
NA,"MYL12A","MKI67","BCAS2","SIPA1L3","SLC39A14","NR2F1"
NA,"GTF2H5","GMNN","LYPD1","MAGI1","GLG1","PRDM1"
NA,"ACTG1","DHFR","HIST1H2BJ","VTI1A","PXDN","IFITM2"
NA,"MYADM","CENPF","BLOC1S2","SIPA1L1","HSPG2","LUM"
NA,"KCTD20","KIF23","C19orf48","BCAS3","CYP51A1","WARS"
NA,"ACTN1","RPA3","RRAD","WDR70","AEBP1","TAP2"
NA,"DSTN","CENPX","AL138828.1","CLSTN2","PDIA3","PAMR1"
NA,"CAVIN3","CDKN2A","PIP4P1","RAD51B","COL1A1","RIPOR3"
NA,"RRAS","UBE2S","PPM1D","DPYD","OSMR","SRPX"
NA,"CAMK2N1","TMPO","PPP1R3C","PDE4D","FSTL1","KLHL5"
NA,"SYNPO2","SAC3D1","OSER1","IGF1R","CPD","UBE2L6"
NA,"EDN1","WDR34","TENT5A","THRB","GNS","PSMB10"
NA,"ANXA6","TUBG1","ISYNA1","ZSWIM6","APLP2","PLAT"
NA,NA,"CDKN2D","SMIM4","SLC4A4","ITGA11","IER2"
NA,NA,"CCDC34","SLC25A4","PARD3B","PAPPA","DHRS7"
NA,NA,"TEX30","TIGAR","FMN1","LAMA4","EFEMP2"
NA,NA,"CKLF","MRPL44","DOCK4","CANX","CD248"
NA,NA,"GAMT","PLK2","ARHGAP24","ITGB1","MDK"
NA,NA,"PARP1","PNP","COP1","NOTCH2","ASAH1"
NA,NA,"PCNA","IER5","TANC2","LOXL2","IGFBP6"
NA,NA,"MCM7","PMAIP1","FAF1","F3","SCPEP1"
NA,NA,"RANBP1","DYRK3","VPS13B","NTN4","NBL1"
NA,NA,"PAFAH1B3","SQSTM1","SH3RF3","ADAM19","FRY"
NA,NA,"DNAJC9","NIFK","FNIP2","TNC","STOM"
NA,NA,"KPNA2","USP36","PTPRG","LAMC1","CYGB"
NA,NA,"CENPK","WASHC2A","STXBP5","TM9SF3","QPRT"
NA,NA,"BCL2L12","ARRDC4","PKP4","FLT1","PKIG"
NA,NA,"CRIP1","EIF5","EBF1","RRBP1","ENG"
NA,NA,"NUDT1","LINC01588","SLC8A1","NFE2L1","JUN"
NA,NA,"FAM111A","TSC22D1","PTPRK","QSOX1","IGFBP5"
NA,NA,"DEK","ODC1","CSNK1G1","GREM1","NINJ1"
NA,NA,"HELLS","EIF1B","BTBD9","HSPA13","DUSP6"
NA,NA,"H2AFZ","RND3","STK3","CCN2","MMP2"
NA,NA,"MZT1","RABGGTB","ARL15","B4GALT1","BDKRB2"
NA,NA,"RRM1","SRP19","SCFD2","CCDC47","WFDC1"
NA,NA,"ALYREF","TNFRSF14","EXOC4","LOX","GLRX5"
NA,NA,"H2AFV","AKIRIN2","MLLT3","ADAM10","MANBA"
NA,NA,"ANP32E","MDM2","APBB2","VPS13C","PSME1"
NA,NA,"CSF2","FBXO32","KDM6A","APP","TCIM"
